"Cognition","Honesty","Communication","Chats","Rep","Coop_Ewan","Payout"
"Mini","Free","Between",4,2,0.932,2.908
"Mini","Free","Between",4,3,0.932142857142857,2.94761904761905
"Mini","Free","Between",4,4,0.93763440860215,2.94086021505376
"Mini","Free","Between",4,5,0.944331984,2.9504048582996
"Mini","Free","Between",4,6,0.945652173913044,2.99547101449275
"Mini","Free","Between",4,7,0.932380952380952,2.94761904761905
"Mini","Free","Between",4,8,0.926124197002141,2.92826552462527
"Mini","Free","Between",4,9,0.941239316239316,2.92948717948718
"Mini","Free","Between",4,10,0.926923077,2.95961538461538
"Mini","Free","Between",4,11,0.930208333333333,2.92291666666667
"Mini","Free","Between",4,12,0.92914979757085,2.96761133603239
"Mini","Free","Between",4,13,0.926587301587302,2.92956349206349
"Mini","Free","Between",4,14,0.936523438,2.966796875
"Mini","Free","Between",4,15,0.932432432432432,2.93555093555094
"Mini","Free","Between",4,16,0.942125237191651,3.00189753320683
"Mini","Free","Between",4,17,0.952702702702703,3.01544401544402
"Mini","Free","Between",4,18,0.929032258064516,2.94731182795699
"Mini","Free","Between",4,19,0.925818882466281,2.89884393063584
"Mini","Free","Between",4,20,0.931477516059957,2.92826552462527
"Mini","Free","Between",4,21,0.941,3
"Mini","Free","Between",4,22,0.953280318091451,2.96421471172962
"Mini","Free","Between",4,23,0.93010752688172,2.98602150537634
"Mini","Free","Between",4,24,0.935353535353535,2.94444444444444
"Mini","Free","Between",4,25,0.948958333333333,2.925
"Mini","Free","Between",4,26,0.928710938,2.913085938
"Mini","Free","Between",4,27,0.94311377245509,2.96407185628743
"Mini","Free","Between",4,28,0.944767441860465,2.96124031007752
"Mini","Free","Between",4,29,0.926666666666667,2.9
"Mini","Free","Between",4,30,0.934014869888476,2.93029739776952
"Mini","Free","Between",5,1,0.948170732,2.96951219512195
"Mini","Free","Between",5,2,0.939047619,2.95809523809524
"Mini","Free","Between",5,3,0.941478439425051,3.00616016427105
"Mini","Free","Between",5,4,0.942748091603053,2.97328244274809
"Mini","Free","Between",5,5,0.949781659388646,2.98908296943231
"Mini","Free","Between",5,6,0.949691991786448,2.96406570841889
"Mini","Free","Between",5,7,0.947718631178707,2.94486692015209
"Mini","Free","Between",5,8,0.945525291828794,2.99513618677043
"Mini","Free","Between",5,9,0.932186234817814,2.97368421052632
"Mini","Free","Between",5,10,0.934055118110236,2.93602362204724
"Mini","Free","Between",5,11,0.94047619047619,2.96428571428571
"Mini","Free","Between",5,12,0.948851774530271,2.94780793319415
"Mini","Free","Between",5,13,0.955066921606118,2.97705544933078
"Mini","Free","Between",5,14,0.946140035906643,2.99461400359066
"Mini","Free","Between",5,15,0.93796992481203,2.94548872180451
"Mini","Free","Between",5,16,0.943661971830986,2.98490945674044
"Mini","Free","Between",5,17,0.934397163120567,2.97429078014184
"Mini","Free","Between",5,18,0.936883629191322,2.97435897435897
"Mini","Free","Between",5,19,0.943775100401606,2.98995983935743
"Mini","Free","Between",5,20,0.934410646387833,2.97053231939163
"Mini","Free","Between",5,21,0.93811394891945,2.95972495088409
"Mini","Free","Between",5,22,0.940082644628099,2.90805785123967
"Mini","Free","Between",5,23,0.939024390243902,2.88109756097561
"Mini","Free","Between",5,24,0.951374207188161,2.9661733615222
"Mini","Free","Between",5,25,0.927734375,2.967773438
"Mini","Free","Between",5,26,0.939856373429084,2.97935368
"Mini","Free","Between",5,27,0.944560669,2.96234309623431
"Mini","Free","Between",5,28,0.961232604373758,3.01192842942346
"Mini","Free","Between",5,29,0.944099378881988,2.982401656
"Mini","Free","Between",5,30,0.936647173489279,2.98732943469786
