"Cognition","Honesty","Communication","Rep","Coop_Ewan","Payout"
"Nano","Free","none",11,0.894503546099291,2.80053191489362
"Nano","Free","none",12,0.906708595387841,2.87840670859539
"Nano","Free","none",13,0.899193548387097,2.85282258064516
"Nano","Free","none",14,0.901140684410646,2.84885931558935
"Nano","Free","none",15,0.918386491557223,2.86210131332083
"Nano","Free","none",16,0.923580786026201,2.88864628820961
"Nano","Free","none",17,0.90258449304175,2.87475149105368
"Nano","Free","none",18,0.900952380952381,2.87047619047619
"Nano","Free","none",19,0.911214953271028,2.9
"Nano","Free","none",20,0.884090909090909,2.80568181818182
"Nano","Free","gossip",11,0.904545454545454,2.84772727272727
"Nano","Free","gossip",12,0.918674698795181,2.90763052208835
"Nano","Free","gossip",13,0.920792079207921,2.87227722772277
"Nano","Free","gossip",14,0.92094455852156,2.87268993839836
"Nano","Free","gossip",15,0.895454545454546,2.80181818181818
"Nano","Free","gossip",16,0.9140625,2.900390625
"Nano","Free","gossip",17,0.890077821011673,2.77334630350195
"Nano","Free","gossip",18,0.904716981132075,2.83962264150943
"Nano","Free","gossip",19,0.894467213114754,2.76536885245902
"Nano","Free","gossip",20,0.913894324853229,2.84344422700587
"Nano","Free","between",11,0.931001890359168,2.84499054820416
"Nano","Free","between",12,0.939457202505219,2.88726513569937
"Nano","Free","between",13,0.94811320754717,2.95188679245283
"Nano","Free","between",14,0.923679060665362,2.88845401174168
"Nano","Free","between",15,0.958015267175572,3.0324427480916
"Nano","Free","between",16,0.950404858299595,2.91599190283401
"Nano","Free","between",17,0.937984496124031,2.90116279069767
"Nano","Free","between",18,0.924547283702213,2.82193158953722
"Nano","Free","between",19,0.939252336448598,2.88130841121495
"Nano","Free","between",20,0.944990176817289,2.94007858546169
"GPT","Free","both",11,0.97568093385214,2.95330739299611
"GPT","Free","both",12,0.977083333333333,3.01458333333333
"GPT","Free","both",13,0.966796875,2.982421875
"GPT","Free","both",14,0.972641509433962,2.97264150943396
"GPT","Free","both",15,0.98015873015873,3.00595238095238
"GPT","Free","both",16,0.983228511530398,3.04088050314465
"GPT","Free","both",17,0.971175166297118,3.00485436893204
"GPT","Free","both",18,0.971943887775551,2.9749498997996
"GPT","Free","both",19,0.976694915254237,2.9396186440678
"GPT","Free","both",20,0.982107355864811,3.01391650099404
"GPT","Free","none",11,0.923,2.844
"GPT","Free","none",12,0.916173570019724,2.79684418145957
"GPT","Free","none",13,0.923762376237624,2.82079207920792
"GPT","Free","none",14,0.962450592885376,2.95059288537549
"GPT","Free","none",15,0.948543689320388,2.87572815533981
"GPT","Free","none",16,0.924212598425197,2.84055118110236
"GPT","Free","none",17,0.935684647302905,2.90248962655602
"GPT","Free","none",18,0.94810379241517,2.95808383233533
"GPT","Free","none",19,0.956289978678038,2.91897654584222
"GPT","Free","none",20,0.937113402061856,2.82577319587629
"GPT","Free","gossip",11,0.937625754527163,2.85714285714286
"GPT","Free","gossip",12,0.95050505050505,2.93232323232323
"GPT","Free","gossip",13,0.942084942084942,2.91505791505792
"GPT","Free","gossip",14,0.930861723446894,2.89779559118236
"GPT","Free","gossip",15,0.914171656686627,2.78443113772455
"GPT","Free","gossip",16,0.932509505703422,2.85931558935361
"GPT","Free","gossip",17,0.945610687022901,2.89312977099237
"GPT","Free","gossip",18,0.93421052631579,2.82785087719298
"GPT","Free","gossip",19,0.935924369747899,2.92226890756303
"GPT","Free","gossip",20,0.945770065075922,2.8590021691974
"GPT","Free","between",11,0.96605504587156,2.95045871559633
"GPT","Free","between",12,0.964737793851718,2.98010849909584
"GPT","Free","between",13,0.964285714285714,2.93650793650794
"GPT","Free","between",14,0.966216216216216,2.98423423423423
"GPT","Free","between",15,0.974630021141649,3.00951374207188
"GPT","Free","between",16,0.976653696498054,2.96789883268483
"GPT","Free","between",17,0.971844660194175,3.00485436893204
"GPT","Free","between",18,0.972332015810277,2.89920948616601
"GPT","Free","between",19,0.962818003913894,3.00684931506849
"GPT","Free","between",20,0.972573839662447,3.0084388185654
"Mini","Free","both",21,0.94949494949495,2.94444444444444
"Mini","Free","both",22,0.945010183299389,2.9786150712831
"Mini","Free","both",23,0.947422680412371,2.98556701030928
"Mini","Free","both",24,0.940944881889764,2.98818897637795
"Mini","Free","both",25,0.929111531190926,2.94517958412098
"Mini","Free","both",26,0.94421906693712,2.97565922920893
"Mini","Free","both",27,0.929824561403509,2.94541910331384
"Mini","Free","both",28,0.942857142857143,3.00408163265306
"Mini","Free","both",29,0.950570342205323,2.96958174904943
"Mini","Free","both",30,0.936708860759494,2.91772151898734
"Mini","Free","none",21,0.883962264150943,2.72358490566038
"Mini","Free","none",22,0.900568181818182,2.81818181818182
"Mini","Free","none",23,0.923413566739606,2.91684901531729
"Mini","Free","none",24,0.915533980582524,2.85339805825243
"Mini","Free","none",25,0.923828125,2.85546875
"Mini","Free","none",26,0.860074626865672,2.62686567164179
"Mini","Free","none",27,0.911949685534591,2.84171907756813
"Mini","Free","none",28,0.903846153846154,2.81623931623932
"Mini","Free","none",29,0.905102040816326,2.78571428571429
"Mini","Free","none",30,0.88719512195122,2.76321138211382
"Mini","Free","gossip",21,0.922379032258064,2.87096774193548
"Mini","Free","gossip",22,0.906976744186046,2.86531007751938
"Mini","Free","gossip",23,0.910229645093946,2.83507306889353
"Mini","Free","gossip",24,0.890891840607211,2.74952561669829
"Mini","Free","gossip",25,0.919132149901381,2.81459566074951
"Mini","Free","gossip",26,0.898809523809524,2.82738095238095
"Mini","Free","gossip",27,0.900191938579655,2.84069097888676
"Mini","Free","gossip",28,0.918307086614173,2.9005905511811
"Mini","Free","gossip",29,0.93992606284658,2.92236598890943
"Mini","Free","gossip",30,0.897540983606557,2.84323770491803
"Mini","Free","between",21,0.923625254582485,2.95112016293279
"Mini","Free","between",22,0.956565656565657,2.96363636363636
"Mini","Free","between",23,0.937137330754352,2.93036750483559
"Mini","Free","between",24,0.954011741682974,3.01174168297456
"Mini","Free","between",25,0.952334630350194,3.01459143968872
"Mini","Free","between",26,0.930861723446894,2.90881763527054
"Mini","Free","between",27,0.943820224719101,3.05243445692884
"Mini","Free","between",28,0.934782608695652,2.99505928853755
"Mini","Free","between",29,0.932186234817814,2.97267206477733
"Mini","Free","between",30,0.934689507494647,2.97751605995717
"Mini","Forced","none",21,0.920454545454545,2.90702479338843
"Mini","Forced","none",22,0.892570281124498,2.81526104417671
"Mini","Forced","none",23,0.868209255533199,2.72434607645875
"Mini","Forced","none",24,0.920550847457627,2.83792372881356
"Mini","Forced","none",25,0.880952380952381,2.7752380952381
"Mini","Forced","none",26,0.919103313840156,2.864522417154
"Mini","Forced","none",27,0.890455531453362,2.77006507592191
"Mini","Forced","none",28,0.909961685823755,2.83620689655172
"Mini","Forced","none",29,0.90169133192389,2.82663847780127
"Mini","Forced","none",30,0.877398720682303,2.79211087420043
"Mini","Forced","gossip",21,0.907446808510638,2.82978723404255
"Mini","Forced","gossip",22,0.898305084745763,2.77212806026365
"Mini","Forced","gossip",23,0.903030303030303,2.82020202020202
"Mini","Forced","gossip",24,0.87781954887218,2.76033834586466
"Mini","Forced","gossip",25,0.900398406374502,2.80577689243028
"Mini","Forced","gossip",26,0.903092783505155,2.84742268041237
"Mini","Forced","gossip",27,0.901303538175047,2.79422718808194
"Mini","Forced","gossip",28,0.914370078740158,2.87007874015748
"Mini","Forced","gossip",29,0.885375494071146,2.74308300395257
"Mini","Forced","gossip",30,0.894787644787645,2.83108108108108
"Mini","Forced","between",21,0.932150313152401,2.95407098121086
"Mini","Forced","between",22,0.947162426614481,3.03913894324853
"Mini","Forced","between",23,0.922365988909427,2.91682070240296
"Mini","Forced","between",24,0.931818181818182,2.99209486166008
"Mini","Forced","between",25,0.922505307855626,2.9171974522293
"Mini","Forced","between",26,0.928879310344828,2.97629310344828
"Mini","Forced","between",27,0.940545808966862,2.97855750487329
"Mini","Forced","between",28,0.927435387673956,2.96918489065606
"Mini","Forced","between",29,0.942468619246862,2.99372384937239
"Mini","Forced","between",30,0.925105485232068,2.98839662447257
"Mini","Forced","both",21,0.943089430894309,2.99186991869919
"Mini","Forced","both",22,0.940625,2.92083333333333
"Mini","Forced","both",23,0.935420743639922,2.93150684931507
"Mini","Forced","both",24,0.933551198257081,2.98910675381264
"Mini","Forced","both",25,0.944444444444444,2.96581196581197
"Mini","Forced","both",26,0.94331983805668,2.93016194331984
"Mini","Forced","both",27,0.945833333333333,2.94375
"Mini","Forced","both",28,0.93011811023622,2.96259842519685
"Mini","Forced","both",29,0.923076923076923,2.90852390852391
"Mini","Forced","both",30,0.945219123505976,2.98804780876494
"Nano","Free","both",21,0.956211812627291,2.92566191446029
"Nano","Free","both",22,0.926977687626775,2.86612576064909
"Nano","Free","both",23,0.944327731092437,2.88655462184874
"Nano","Free","both",24,0.955602536997886,2.98625792811839
"Nano","Free","both",25,0.925892857142857,2.89375
"Nano","Free","both",26,0.948897795591182,2.90480961923848
"Nano","Free","both",27,0.936660268714012,2.87332053742802
"Nano","Free","both",28,0.918831168831169,2.87012987012987
"Nano","Free","both",29,0.925454545454545,2.82818181818182
"Nano","Free","both",30,0.93812375249501,2.87824351297405
"Nano","Free","none",21,0.906189555125725,2.8742746615087
"Nano","Free","none",22,0.908405172413793,2.82758620689655
"Nano","Free","none",23,0.878968253968254,2.78174603174603
"Nano","Free","none",24,0.911710037174721,2.93401486988848
"Nano","Free","none",25,0.8974609375,2.8662109375
"Nano","Free","none",26,0.900961538461538,2.80769230769231
"Nano","Free","none",27,0.886773547094188,2.8186372745491
"Nano","Free","none",28,0.917148362235068,2.86416184971098
"Nano","Free","none",29,0.913829787234042,2.86063829787234
"Nano","Free","none",30,0.894628099173554,2.82438016528926
"Nano","Free","gossip",21,0.899810964083176,2.82325141776938
"Nano","Free","gossip",22,0.880081300813008,2.7469512195122
"Nano","Free","gossip",23,0.900414937759336,2.78008298755187
"Nano","Free","gossip",24,0.91566265060241,2.85341365461847
"Nano","Free","gossip",25,0.912681912681913,2.84927234927235
"Nano","Free","gossip",26,0.924698795180723,2.89357429718876
"Nano","Free","gossip",27,0.895348837209302,2.79263565891473
"Nano","Free","gossip",28,0.906679764243615,2.8516699410609
"Nano","Free","gossip",29,0.898422090729783,2.80867850098619
"Nano","Free","gossip",30,0.903769841269841,2.84027777777778
"Nano","Free","between",21,0.938155136268344,2.90251572327044
"Nano","Free","between",22,0.918762088974855,2.81721470019342
"Nano","Free","between",23,0.948176583493282,2.94145873320537
"Nano","Free","between",24,0.928260869565217,2.92173913043478
"Nano","Free","between",25,0.942115768463074,2.92415169660679
"Nano","Free","between",26,0.939121756487026,2.96506986027944
"Nano","Free","between",27,0.948434622467772,2.92541436464088
"Nano","Free","between",28,0.932562620423892,2.84393063583815
"Nano","Free","between",29,0.934362934362934,2.88513513513514
"Nano","Free","between",30,0.940162271805274,2.84077079107505
"GPT","Free","both",21,0.976,2.955
"GPT","Free","both",22,0.979125248508946,2.98011928429423
"GPT","Free","both",23,0.990546218487395,3.00840336134454
"GPT","Free","both",24,0.974409448818898,2.96161417322835
"GPT","Free","both",25,0.95531914893617,2.92021276595745
"GPT","Free","both",26,0.977443609022556,2.97744360902256
"GPT","Free","both",27,0.982438016528926,2.99793388429752
"GPT","Free","both",28,0.970164609053498,3.00925925925926
"GPT","Free","both",29,0.971717171717172,2.9989898989899
"GPT","Free","both",30,0.971398305084746,2.95444915254237
"GPT","Free","none",21,0.947698744769874,2.89330543933054
"GPT","Free","none",22,0.971311475409836,2.9702868852459
"GPT","Free","none",23,0.94,2.825
"GPT","Free","none",24,0.937250996015936,2.85159362549801
"GPT","Free","none",25,0.940384615384615,2.86442307692308
"GPT","Free","none",26,0.961,2.919
"GPT","Free","none",27,0.937732342007435,2.83736059479554
"GPT","Free","none",28,0.929141716566866,2.84331337325349
"GPT","Free","none",29,0.917355371900826,2.83471074380165
"GPT","Free","none",30,0.934549356223176,2.76609442060086
"GPT","Free","gossip",21,0.914705882352941,2.78823529411765
"GPT","Free","gossip",22,0.94916820702403,2.88817005545287
"GPT","Free","gossip",23,0.947959183673469,2.88265306122449
"GPT","Free","gossip",24,0.941351888667992,2.85785288270378
"GPT","Free","gossip",25,0.927145708582834,2.9121756487026
"GPT","Free","gossip",26,0.922105263157895,2.87052631578947
"GPT","Free","gossip",27,0.917190775681342,2.84800838574423
"GPT","Free","gossip",28,0.905511811023622,2.79527559055118
"GPT","Free","gossip",29,0.938008130081301,2.90243902439024
"GPT","Free","gossip",30,0.945972495088409,2.92141453831041
"GPT","Free","between",21,0.954720616570328,2.96917148362235
"GPT","Free","between",22,0.964944649446494,2.95387453874539
"GPT","Free","between",23,0.970347648261759,2.94069529652352
"GPT","Free","between",24,0.953488372093023,2.9796511627907
"GPT","Free","between",25,0.969289827255278,2.989443378119
"GPT","Free","between",26,0.98,3.01238095238095
"GPT","Free","between",27,0.967479674796748,2.96138211382114
"GPT","Free","between",28,0.965867158671587,2.9880073800738
"GPT","Free","between",29,0.973360655737705,2.94159836065574
"GPT","Free","between",30,0.972515856236786,3.00845665961945
"Mini","Free","both",31,0.946462715105163,3.0038240917782
"Mini","Free","both",32,0.940265486725664,2.95132743362832
"Mini","Free","both",33,0.939457202505219,2.93423799582463
"Mini","Free","both",34,0.951680672268908,2.91386554621849
"Mini","Free","both",35,0.945031712473573,2.94714587737844
"Mini","Free","both",36,0.93359375,2.990234375
"Mini","Free","both",37,0.954831932773109,2.9390756302521
"Mini","Free","both",38,0.945759368836292,2.92998027613412
"Mini","Free","both",39,0.947731755424063,2.92702169625247
"Mini","Free","both",40,0.951612903225806,2.98292220113852
"Mini","Free","both",41,0.940839694656488,2.92652671755725
"Mini","Free","both",42,0.951578947368421,2.93684210526316
"Mini","Free","both",43,0.938432835820896,2.97201492537313
"Mini","Free","both",44,0.950733752620545,3.0125786163522
