"Cognition","Honesty","Communication","Population","Rep","Coop_Ewan","Payout"
"Mini","Free","gossip",6,45,0.918388429752066,2.77995867768595
"Mini","Free","gossip",6,46,0.911042944785276,2.94478527607362
"Mini","Free","gossip",6,47,0.887473460721868,2.78662420382166
"Mini","Free","gossip",6,48,0.9,2.79166666666667
"Mini","Free","gossip",6,49,0.902957486136784,2.77634011090573
"Mini","Free","gossip",6,50,0.886186770428016,2.77821011673152
"Mini","Free","none",6,1,0.919006479481642,2.82829373650108
"Mini","Free","none",6,2,0.907142857142857,2.75
"Mini","Free","none",6,3,0.93050193050193,2.88223938223938
"Mini","Free","none",6,4,0.919962335216573,2.87005649717514
"Mini","Free","none",6,5,0.914893617021277,2.77272727272727
"Mini","Free","none",6,6,0.93312101910828,2.95010615711253
"Mini","Free","none",6,7,0.914346895074946,2.8051391862955
"Mini","Free","none",6,8,0.889908256880734,2.74587155963303
"Mini","Free","none",6,9,0.915821501014199,2.82150101419878
"Mini","Free","none",6,10,0.89292364990689,2.76722532588454
"Mini","Free","none",6,11,0.898926654740608,2.81842576028623
"Mini","Free","none",6,12,0.904862579281184,2.74947145877378
"Mini","Free","none",6,13,0.915151515151515,2.86565656565657
"Mini","Free","none",6,14,0.889943074003795,2.75901328273245
"Mini","Free","none",6,15,0.911468812877264,2.89839034205231
"Mini","Free","none",6,16,0.891434262948207,2.77788844621514
"Mini","Free","none",6,17,0.907172995780591,2.79852320675105
"Mini","Free","none",6,18,0.907707910750507,2.83468559837728
"Mini","Free","none",6,19,0.914893617021277,2.85106382978723
"Mini","Free","none",6,20,0.909282700421941,2.83755274261603
"Mini","Free","none",6,21,0.911764705882353,2.83111954459203
"Mini","Free","none",6,22,0.885229540918164,2.73852295409182
"Mini","Free","none",6,23,0.89553752535497,2.77789046653144
"Mini","Free","none",6,24,0.90625,2.83297413793103
"Mini","Free","none",6,25,0.909574468085106,2.81489361702128
"Mini","Free","none",6,26,0.8917004048583,2.81578947368421
"Mini","Free","none",6,27,0.889105058365759,2.78210116731517
"Mini","Free","none",6,28,0.894904458598726,2.7515923566879
"Mini","Free","none",6,29,0.882530120481928,2.67168674698795
"Mini","Free","none",6,30,0.897245762711864,2.78919491525424
"Mini","Free","none",6,31,0.90495867768595,2.7995867768595
"Mini","Free","none",6,32,0.926614481409002,2.90802348336595
"Mini","Free","none",6,33,0.902485659655832,2.74474187380497
"Mini","Free","none",6,34,0.904809619238477,2.81462925851703
"Mini","Free","none",6,35,0.926614481409002,2.86399217221135
"Mini","Free","none",6,36,0.906387665198238,2.78854625550661
"Mini","Free","none",6,37,0.898047722342733,2.79609544468547
"Mini","Free","none",6,38,0.897410358565737,2.82470119521912
"Mini","Free","none",6,39,0.891434262948207,2.81872509960159
"Mini","Free","none",6,40,0.894467213114754,2.78073770491803
"Mini","Free","none",6,41,0.923232323232323,2.86565656565657
"Mini","Free","none",6,42,0.895348837209302,2.81782945736434
"Mini","Free","none",6,43,0.894845360824742,2.75463917525773
"Mini","Free","none",6,44,0.90607210626186,2.79032258064516
"Mini","Free","none",6,45,0.908183632734531,2.80139720558882
"Mini","Free","none",6,46,0.921965317919075,2.83815028901734
"Mini","Free","none",6,47,0.896116504854369,2.84368932038835
"Mini","Free","none",6,48,0.918976545842217,2.85287846481876
"Mini","Free","none",6,49,0.900785854616896,2.81335952848723
"Mini","Free","none",6,50,0.91036717062635,2.86393088552916
"Mini","Free","gossip",7,1,0.909278350515464,2.86185567010309
"Mini","Free","gossip",7,2,0.906185567010309,2.8340206185567
"Mini","Free","gossip",7,3,0.9125,2.81057692307692
"Mini","Free","gossip",7,4,0.914829659318637,2.84569138276553
"Mini","Free","gossip",7,5,0.870201096892139,2.68921389396709
"Mini","Free","gossip",7,6,0.922755741127349,2.86951983298539
"Mini","Free","gossip",7,7,0.91,2.892
"Mini","Free","gossip",7,8,0.927272727272727,2.8979797979798
"Mini","Free","gossip",7,9,0.890396659707724,2.7713987473904
"Mini","Free","gossip",7,10,0.912915851272016,2.8679060665362
"Mini","Free","gossip",7,11,0.885,2.781
"Mini","Free","gossip",7,12,0.90595009596929,2.80230326295585
"Mini","Free","gossip",7,13,0.920600858369099,2.87231759656652
"Mini","Free","gossip",7,14,0.912076271186441,2.83686440677966
"Mini","Free","gossip",7,15,0.890756302521008,2.8140756302521
"Mini","Free","gossip",7,16,0.913967611336032,2.86437246963563
"Mini","Free","gossip",7,17,0.9189453125,2.845703125
"Mini","Free","gossip",7,18,0.918976545842217,2.88912579957356
"Mini","Free","gossip",7,19,0.912065439672802,2.84662576687117
"Mini","Free","gossip",7,20,0.905959031657356,2.84357541899441
"Mini","Free","gossip",7,21,0.898203592814371,2.79041916167665
"Mini","Free","gossip",7,22,0.89176245210728,2.79214559386973
"Mini","Free","gossip",7,23,0.905660377358491,2.76320754716981
"Mini","Free","gossip",7,24,0.925045703839122,2.86106032906764
"Mini","Free","gossip",7,25,0.914230019493177,2.78654970760234
"Mini","Free","gossip",7,26,0.911025145067698,2.81818181818182
"Mini","Free","gossip",7,27,0.890057361376673,2.81835564053537
"Mini","Free","gossip",7,28,0.895833333333333,2.8125
"Mini","Free","gossip",7,29,0.910493827160494,2.77880658436214
"Mini","Free","gossip",7,30,0.908829174664108,2.81861804222649
"Mini","Free","gossip",7,31,0.914736842105263,2.8821052631579
"Mini","Free","gossip",7,32,0.903061224489796,2.84591836734694
"Mini","Free","gossip",7,33,0.882642998027613,2.74852071005917
"Mini","Free","gossip",7,34,0.900925925925926,2.82592592592593
"Mini","Free","gossip",7,35,0.919132149901381,2.88954635108481
"Mini","Free","gossip",7,36,0.898720682302772,2.81556503198294
"Mini","Free","gossip",7,37,0.910018552875696,2.87755102040816
"Mini","Free","gossip",7,38,0.909663865546218,2.84348739495798
"Mini","Free","gossip",7,39,0.9072265625,2.875
"Mini","Free","gossip",7,40,0.92315369261477,2.84830339321357
"Mini","Free","gossip",7,41,0.904672897196262,2.84672897196262
"Mini","Free","gossip",7,42,0.924698795180723,2.83734939759036
"Mini","Free","gossip",7,43,0.944560669456067,2.92468619246862
"Mini","Free","gossip",7,44,0.88477801268499,2.76532769556025
"Mini","Free","gossip",7,45,0.879668049792531,2.77593360995851
"Mini","Free","gossip",7,46,0.90491452991453,2.81730769230769
"Mini","Free","gossip",7,47,0.902534113060429,2.80799220272904
"Mini","Free","gossip",7,48,0.904811715481172,2.8347280334728
"Mini","Free","gossip",7,49,0.904339250493097,2.80571992110454
"Mini","Free","gossip",7,50,0.919587628865979,2.80927835051546
